"","species","lat","lon","Pb"
"313","Pyrus bourgaeana",37.765811,-5.385691,1
"314","Pyrus bourgaeana",37.142914,-6.453894,1
"315","Pyrus bourgaeana",38.28268,-3.468222,1
"316","Pyrus bourgaeana",38.337548,-5.479956,1
"317","Pyrus bourgaeana",38.355081,-5.125407,1
"318","Pyrus bourgaeana",38.345507,-5.110654,1
"319","Pyrus bourgaeana",38.456151,-5.527968,1
"320","Pyrus bourgaeana",38.699445,-5.065719,1
"321","Pyrus bourgaeana",37.821669,-5.49026,1
"322","Pyrus bourgaeana",37.693393,-5.577986,1
"323","Pyrus bourgaeana",37.121952,-6.430213,1
"324","Pyrus bourgaeana",38.702728,-5.136796,1
"325","Pyrus bourgaeana",37.121035,-6.438543,1
"326","Pyrus bourgaeana",37.124328,-6.43652,1
"327","Pyrus bourgaeana",37.135586,-6.432945,1
"328","Pyrus bourgaeana",38.44373,-3.368845,1
"329","Pyrus bourgaeana",38.266291,-4.673593,1
"330","Pyrus bourgaeana",38.075931,-4.942395,1
"331","Pyrus bourgaeana",37.855411,-5.552265,1
"332","Pyrus bourgaeana",38.18197,-4.732001,1
"333","Pyrus bourgaeana",38.109708,-3.967953,1
"334","Pyrus bourgaeana",37.778,-2.109,1
"335","Pyrus bourgaeana",37.887528,-6.84698,1
"336","Pyrus bourgaeana",37.705783,-5.624917,1
"337","Pyrus bourgaeana",37.735652,-5.696862,1
"338","Pyrus bourgaeana",37.775084,-5.767507,1
"339","Pyrus bourgaeana",36.983051,-6.440676,1
"340","Pyrus bourgaeana",37.774333,-5.766491,1
"341","Pyrus bourgaeana",38.244824,-4.576739,1
"342","Pyrus bourgaeana",40.3,-6.23,1
"343","Pyrus bourgaeana",37.845262,-6.75697,1
"344","Pyrus bourgaeana",37.790194,-6.778946,1
"345","Pyrus bourgaeana",37.800691,-6.854432,1
"346","Pyrus bourgaeana",37.770129,-6.859039,1
"347","Pyrus bourgaeana",37.816579,-6.072255,1
"348","Pyrus bourgaeana",37.739291,-5.903531,1
"349","Pyrus bourgaeana",37.803562,-6.691525,1
